STATE_FIP,State_Name,2010,2020,2030,2040
01,Alabama,14,16,19,19
02,Alaska,8,13,16,15
04,Arizona,14,16,19,19
05,Arkansas,14,17,19,19
06,California,11,14,16,16
08,Colorado,11,14,16,15
09,Connecticut,14,17,20,20
10,Delaware,14,18,21,21
11,District of Columbia,11,13,14,13
12,Florida,17,20,23,23
13,Georgia,11,13,15,15
15,Hawaii,14,19,22,22
16,Idaho,12,15,17,16
17,Illinois,13,15,17,17
18,Indiana,13,15,18,18
19,Iowa,15,17,20,20
20,Kansas,13,16,18,17
21,Kentucky,13,16,19,19
22,Louisiana,12,15,19,18
23,Maine,16,21,27,27
24,Maryland,12,15,18,17
25,Massachusetts,14,17,20,20
26,Michigan,14,17,21,21
27,Minnesota,13,16,20,19
28,Mississippi,13,15,18,19
29,Missouri,14,16,19,19
30,Montana,15,19,23,22
31,Nebraska,14,16,19,18
32,Nevada,12,14,15,15
33,New Hampshire,14,18,24,24
34,New Jersey,13,16,18,18
35,New Mexico,13,17,20,20
36,New York,14,16,18,18
37,North Carolina,13,15,18,18
38,North Dakota,14,18,22,21
39,Ohio,14,17,20,20
40,Oklahoma,14,16,18,17
41,Oregon,14,18,20,19
42,Pennsylvania,15,18,21,21
44,Rhode Island,14,17,21,21
45,South Carolina,14,17,20,20
46,South Dakota,14,17,21,20
47,Tennessee,13,16,18,18
48,Texas,10,12,14,14
49,Utah,9,11,12,12
50,Vermont,15,20,26,26
51,Virginia,12,15,18,18
53,Washington,12,16,18,18
54,West Virginia,16,20,23,23
55,Wisconsin,14,17,21,20
56,Wyoming,12,17,20,19
