COUNTY,ad_hiv,men_hiv,wom_hiv,LAT,LNG,Gen_index
BARINGO,3.00,2.90,3.20,0.66925198,35.94646535,0.58
BOMET,5.80,4.50,8.70,-0.726294583,35.29859759,0.62
BUNGOMA,3.20,2.40,6.00,0.74928524,34.64046088,0.62
BUSIA,6.80,5.60,13.90,0.387443678,34.19363149,0.65
ELEGEYO-MARAKWET,2.50,5.00,1.50,0.802219,35.536563,0.62
EMBU,3.70,1.50,2.80,-0.603974378,37.62650133,0.55
GARISSA,2.10,4.50,0.70,-0.488910345,40.19927854,0.65
HOMA BAY,25.70,17.80,29.10,-0.542809394,34.35899687,0.67
ISIOLO,4.20,2.30,5.70,1.010443078,38.54215312,0.64
KAJIADO,4.40,0.00,15.60,-2.121383578,36.90884219,0.6
KAKAMEGA,5.90,3.40,4.50,0.403683464,34.74451115,0.63
KERICHO,3.40,3.40,4.50,-0.295732906,35.31407001,0.62
KIAMBU,3.80,2.30,6.70,-1.068706066,36.82356426,0.57
KILIFI,4.40,4.30,7.40,-3.175732013,39.68668755,0.67
KIRINYAGA,3.30,5.40,2.80,-0.524746296,37.31986811,0.57
KISII,8.00,4.00,6.80,-0.774603757,34.77472298,0.63
KISUMU,19.30,14.20,20.50,-0.169458695,34.83520347,0.63
KITUI,4.30,1.40,5.30,-1.491038531,38.40692102,0.59
KWALE,5.70,2.20,3.10,-4.183149527,39.1904119,0.63
LAIKIPIA,3.70,3.20,5.30,0.323604123,36.77172786,0.6
LAMU,2.30,1.40,3.20,-2.078682544,40.88286068,0.71
MACHAKOS,5.00,2.90,6.80,-1.279512307,37.41267603,0.62
MAKUENI,5.60,3.30,7.60,-2.1576841,37.78824557,0.55
MANDERA,1.70,2.00,2.30,3.436469488,40.73881017,0.69
MARSABIT,1.20,7.00,1.60,2.978658787,37.56953611,0.69
MERU,3.00,3.40,4.50,0.166779241,37.76403705,0.64
MIGORI,14.70,10.00,15.90,-0.989536844,34.36334531,0.69
MOMBASA,7.40,4.50,10.50,-4.02125622,39.6508827,0.65
MURANG,5.20,1.20,9.80,-0.809590537,37.03272252,0.57
NAIROBI,6.80,5.90,9.70,-1.29341347,36.86818927,0.62
NAKURU,5.30,3.30,8.50,-0.463675432,36.07847909,0.64
NANDI,3.70,3.10,5.20,0.186688887,35.11048767,0.65
NAROK,5.00,12.50,6.30,-1.254790332,35.57632921,0.65
NYAMIRA,6.40,5.30,7.50,-0.6427324,34.96465956,0.65
NYANDARUA,3.80,3.30,2.60,-0.322077823,36.48286916,0.6
NYERI,4.30,2.30,5.50,-0.342923589,36.95647813,0.53
SAMBURU,5.00,2.30,5.50,1.316854626,37.11839407,0.66
SIAYA,23.70,15.90,23.30,-0.062129889,34.2476417,0.65
TAITA TAVETA,6.10,7.30,10.60,-3.434733994,38.418602,0.6
TANA RIVER,1.00,1.90,1.50,-1.526366604,39.4178692,0.69
THARAKA - NITHI,4.30,6.40,2.10,-0.207061218,37.87029727,0.58
TRANS NZOIA,5.10,10.00,9.30,1.050954809,34.95741998,0.62
TURKANA,7.60,10.00,10.80,3.424849196,35.43575846,0.65
UASIN GISHU,4.30,3.40,6.10,0.526085892,35.32201167,0.63
VIHIGA,3.80,2.70,11.80,0.076265796,34.72232304,0.63
WAJIR,0.20,0.10,0.00,1.808137624,40.03498564,0.73
WEST POKOT,2.80,1.70,3.00,1.740106171,35.24384681,0.65
