FIPS,State,County,% Smokers
21000,Kentucky,,26
21001,Kentucky,Adair,24
21003,Kentucky,Allen,25
21005,Kentucky,Anderson,21
21007,Kentucky,Ballard,22
21009,Kentucky,Barren,24
21011,Kentucky,Bath,27
21013,Kentucky,Bell,30
21015,Kentucky,Boone,17
21017,Kentucky,Bourbon,23
21019,Kentucky,Boyd,24
21021,Kentucky,Boyle,22
21023,Kentucky,Bracken,22
21025,Kentucky,Breathitt,29
21027,Kentucky,Breckinridge,22
21029,Kentucky,Bullitt,20
21031,Kentucky,Butler,26
21033,Kentucky,Caldwell,22
21035,Kentucky,Calloway,22
21037,Kentucky,Campbell,22
21039,Kentucky,Carlisle,22
21041,Kentucky,Carroll,27
21043,Kentucky,Carter,24
21045,Kentucky,Casey,27
21047,Kentucky,Christian,27
21049,Kentucky,Clark,23
21051,Kentucky,Clay,29
21053,Kentucky,Clinton,26
21055,Kentucky,Crittenden,23
21057,Kentucky,Cumberland,25
21059,Kentucky,Daviess,21
21061,Kentucky,Edmonson,21
21063,Kentucky,Elliott,28
21065,Kentucky,Estill,26
21067,Kentucky,Fayette,23
21069,Kentucky,Fleming,25
21071,Kentucky,Floyd,29
21073,Kentucky,Franklin,21
21075,Kentucky,Fulton,26
21077,Kentucky,Gallatin,24
21079,Kentucky,Garrard,23
21081,Kentucky,Grant,23
21083,Kentucky,Graves,21
21085,Kentucky,Grayson,26
21087,Kentucky,Green,24
21089,Kentucky,Greenup,22
21091,Kentucky,Hancock,22
21093,Kentucky,Hardin,22
21095,Kentucky,Harlan,28
21097,Kentucky,Harrison,23
21099,Kentucky,Hart,26
21101,Kentucky,Henderson,25
21103,Kentucky,Henry,24
21105,Kentucky,Hickman,22
21107,Kentucky,Hopkins,21
21109,Kentucky,Jackson,28
21111,Kentucky,Jefferson,22
21113,Kentucky,Jessamine,23
21115,Kentucky,Johnson,26
21117,Kentucky,Kenton,22
21119,Kentucky,Knott,26
21121,Kentucky,Knox,29
21123,Kentucky,Larue,23
21125,Kentucky,Laurel,24
21127,Kentucky,Lawrence,25
21129,Kentucky,Lee,27
21131,Kentucky,Leslie,26
21133,Kentucky,Letcher,25
21135,Kentucky,Lewis,30
21137,Kentucky,Lincoln,27
21139,Kentucky,Livingston,22
21141,Kentucky,Logan,24
21143,Kentucky,Lyon,21
21145,Kentucky,McCracken,20
21147,Kentucky,McCreary,33
21149,Kentucky,McLean,24
21151,Kentucky,Madison,24
21153,Kentucky,Magoffin,28
21155,Kentucky,Marion,25
21157,Kentucky,Marshall,19
21159,Kentucky,Martin,29
21161,Kentucky,Mason,24
21163,Kentucky,Meade,25
21165,Kentucky,Menifee,26
21167,Kentucky,Mercer,22
21169,Kentucky,Metcalfe,26
21171,Kentucky,Monroe,26
21173,Kentucky,Montgomery,25
21175,Kentucky,Morgan,30
21177,Kentucky,Muhlenberg,25
21179,Kentucky,Nelson,23
21181,Kentucky,Nicholas,22
21183,Kentucky,Ohio,24
21185,Kentucky,Oldham,18
21187,Kentucky,Owen,21
21189,Kentucky,Owsley,29
21191,Kentucky,Pendleton,22
21193,Kentucky,Perry,27
21195,Kentucky,Pike,26
21197,Kentucky,Powell,27
21199,Kentucky,Pulaski,25
21201,Kentucky,Robertson,24
21203,Kentucky,Rockcastle,26
21205,Kentucky,Rowan,24
21207,Kentucky,Russell,24
21209,Kentucky,Scott,21
21211,Kentucky,Shelby,20
21213,Kentucky,Simpson,23
21215,Kentucky,Spencer,19
21217,Kentucky,Taylor,25
21219,Kentucky,Todd,24
21221,Kentucky,Trigg,21
21223,Kentucky,Trimble,22
21225,Kentucky,Union,26
21227,Kentucky,Warren,23
21229,Kentucky,Washington,21
21231,Kentucky,Wayne,25
21233,Kentucky,Webster,22
21235,Kentucky,Whitley,27
21237,Kentucky,Wolfe,30
21239,Kentucky,Woodford,20
